timestamp,feed_name,category,title,link,published
2025-09-24_160121,ZDNet Japan,ICTトレンド,スリーシェイク、統合セキュリティ基盤でCSPMとSBOMをリリース,https://japan.zdnet.com/article/35238332/,2025-09-24T11:32:00+09:00
2025-09-24_160121,ZDNet Japan,ICTトレンド,日本のセキュリティトレンド、AIガバナンスなど8つを追加--ガートナー,https://japan.zdnet.com/article/35238329/,2025-09-24T11:13:00+09:00
2025-09-24_160121,ZDNet Japan,ICTトレンド,OpenAIの「Deep Research」に機密データ漏えいのリスク--すでに解決済み,https://japan.zdnet.com/article/35238313/,2025-09-24T09:48:00+09:00
