timestamp,feed_name,category,title,link,published
2026-04-06_162858,デジタル庁 新着・更新,政策・制度,令和8年度 地方公共団体情報システムの標準化・ガバメントクラウド移行後の運用最適化及び活用に係る検討・検証事業第二回公募を開始しました【事業者対象】,https://www.digital.go.jp/news/22290b09-27ae-4b1b-ab11-befaf38d7169,"Mon, 06 Apr 2026 15:00:00 +0900"
2026-04-06_162858,デジタル庁 新着・更新,政策・制度,令和8年度 地方公共団体情報システムの標準化・ガバメントクラウド移行後の運用最適化及び活用に係る検討・検証事業第一回公募採択結果を公表しました【事業者対象】,https://www.digital.go.jp/news/a14c5576-b778-4fe7-adaa-3228fadea62a,"Mon, 06 Apr 2026 15:00:00 +0900"
2026-04-06_162858,デジタル庁 新着・更新,政策・制度,公募終了案件（技術的対話による企画競争入札）：「電子契約システム（工事・業務）更改に係る設計・開発・テスト等業務」の技術的対話プロセスの公表資料を掲載しました,https://www.digital.go.jp/procurement/closed-system-agreement,"Mon, 06 Apr 2026 15:00:00 +0900"
