timestamp,feed_name,category,title,link,published
2026-02-02_161924,デジタル庁 新着・更新,政策・制度,日本のPeppol Certified Service Provider一覧を更新しました,https://www.digital.go.jp/policies/electronic_invoice/list-japanese,"Mon, 02 Feb 2026 15:00:00 +0900"
2026-02-02_161924,デジタル庁 新着・更新,政策・制度,企画競争：令和8年度適合確認ツール、適合確認ウェブサイト及び標準化基準管理機能の改修等標準化移行支援施策に係る支援事業を掲載しました,https://www.digital.go.jp/procurement,"Mon, 02 Feb 2026 15:00:00 +0900"
2026-02-02_161924,ZDNet Japan,ICTトレンド,2026年はセキュリティの「文脈」がキーワード、グーグル傘下のWizが方針説明,https://japan.zdnet.com/article/35243059/,2026-02-02T11:00:00+09:00
