timestamp,feed_name,category,title,link,published
2026-07-15_180212,デジタル庁 新着・更新,政策・制度,デジタル社会推進標準ガイドラインにおける政府情報システム全般に関するドキュメントを更新しました,https://www.digital.go.jp/resources/standard_guidelines,"Wed, 15 Jul 2026 15:00:00 +0900"
2026-07-15_180212,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: 2026年7月マイクロソフトセキュリティ更新プログラムに関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260020.html,2026-07-15T13:25+09:00
2026-07-15_180212,ZDNet Japan,ICTトレンド,キヤノンMJとオプロが協業、「帳票DX」と「DigitalWork Accelerator」連携で企業間取引DX,https://japan.zdnet.com/article/35250506/,2026-07-15T17:22:00+09:00
