timestamp,feed_name,category,title,link,published
2026-05-01_091558,JPCERT/CC 注意喚起・週報,セキュリティ,Weekly Report: JPCERT/CCが「Cisco ASAおよびFTDにおける複数の脆弱性（CVE-2025-20333、CVE-2025-20362）に関する注意喚起」を更新,https://www.jpcert.or.jp/wr/2026/wr260430.html#14,2026-04-30T09:09+09:00
2026-05-01_091558,ZDNet Japan,ICTトレンド,KPMGコンサルティング、「サイバーセキュリティ主要課題2026」を発表,https://japan.zdnet.com/article/35247029/,2026-04-30T13:30:00+09:00
2026-05-01_091558,ZDNet Japan,ICTトレンド,AIエージェントが職場に浸透する時代へ--シスコシステムズが提唱する3つの保護機能,https://japan.zdnet.com/article/35247049/,2026-04-30T12:55:00+09:00
2026-05-01_091558,ZDNet Japan,ICTトレンド,SaaS大手が相次いで参入した「パーソナルエージェント」市場の行方,https://japan.zdnet.com/article/35247040/,2026-04-30T10:30:00+09:00
