timestamp,feed_name,category,title,link,published
2026-03-23_162543,デジタル庁 新着・更新,政策・制度,地方公共団体情報システムにおける文字の標準化に関する有識者会議（第3回）の議事概要等を掲載しました,https://www.digital.go.jp/councils/local-governments-character-specification-revise-experts-meeting/bc492603-3a02-4df9-92ee-d82c4efc1ef4,"Mon, 23 Mar 2026 15:00:00 +0900"
2026-03-23_162543,ZDNet Japan,ICTトレンド,SCSKニアショアシステムズ、社内規程DXサービス「KiteRa Biz」導入でガバナンス基盤を整備,https://japan.zdnet.com/article/35245330/,2026-03-23T10:04:00+09:00
2026-03-23_162543,ZDNet Japan,ICTトレンド,SailPoint、アイデンティティーはセキュリティリスクに最も影響のあるセンターピン,https://japan.zdnet.com/article/35245253/,2026-03-23T07:00:00+09:00
