timestamp,feed_name,category,title,link,published
2026-05-23_091945,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: Palo Alto Networks製PAN-OSにおける認証回避の脆弱性（CVE-2026-0265）に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260015.html,2026-05-22T11:09+09:00
2026-05-23_091945,ZDNet Japan,ICTトレンド,日本のロボティクス開発は「AIより安全が優先」--QNXがグローバル調査,https://japan.zdnet.com/article/35247852/,2026-05-22T11:24:00+09:00
2026-05-23_091945,ZDNet Japan,ICTトレンド,建設現場の知見共有をAIで効率化--「Google Workspace」「Gemini」活用でブログ作成も,https://japan.zdnet.com/article/35247877/,2026-05-22T11:23:00+09:00
