timestamp,feed_name,category,title,link,published
2025-12-10_160244,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: Adobe AcrobatおよびReaderの脆弱性（APSB25-119）に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2025/at250026.html,2025-12-10T11:14+09:00
2025-12-10_160244,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: 2025年12月マイクロソフトセキュリティ更新プログラムに関する注意喚起 (公開),https://www.jpcert.or.jp/at/2025/at250025.html,2025-12-10T11:14+09:00
2025-12-10_160244,JPCERT/CC 注意喚起・週報,セキュリティ,Weekly Report: Array Networks Array AGシリーズにおけるコマンドインジェクションの脆弱性に関する注意喚起,https://www.jpcert.or.jp/wr/2025/wr251210.html#4,2025-12-10T09:03+09:00
2025-12-10_160244,ZDNet Japan,ICTトレンド,アクロニス、2026年は攻撃・防御ともにAI活用が加速する「AI時代の攻防」が本格到来,https://japan.zdnet.com/article/35241461/,2025-12-10T13:08:00+09:00
