timestamp,feed_name,category,title,link,published
2026-03-11_161500,デジタル庁 新着・更新,政策・制度,地方公共団体の基幹業務システムの統一・標準化に係るガバメントクラウド利用における推奨構成の資料を更新しました,https://www.digital.go.jp/policies/local_governments,"Wed, 11 Mar 2026 15:00:00 +0900"
2026-03-11_161500,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: Adobe AcrobatおよびReaderの脆弱性（APSB26-26）に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260006.html,2026-03-11T11:40+09:00
2026-03-11_161500,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: 2026年3月マイクロソフトセキュリティ更新プログラムに関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260005.html,2026-03-11T11:40+09:00
2026-03-11_161500,ZDNet Japan,ICTトレンド,アリババクラウド、新データセンターを開設--AI開発プラットフォームの展開も,https://japan.zdnet.com/article/35244896/,2026-03-11T15:28:00+09:00
