timestamp,feed_name,category,title,link,published
2026-05-21_171017,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: TrendAI Apex Oneなどのトレンドマイクロ製品における複数の脆弱性に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260014.html,2026-05-21T15:23+09:00
2026-05-21_171017,ZDNet Japan,ICTトレンド,ガートナー、AIエージェントのセキュリティで注力すべき6つのアクションを発表,https://japan.zdnet.com/article/35247812/,2026-05-21T14:00:00+09:00
2026-05-21_171017,ZDNet Japan,ICTトレンド,ネットスコープ、AIエコシステム全体を保護する「Netskope One AI Security」を発表,https://japan.zdnet.com/article/35247754/,2026-05-21T12:00:00+09:00
2026-05-21_171017,ZDNet Japan,ICTトレンド,エージェント型コーディングの「終末論」をめぐる5つの誤解,https://japan.zdnet.com/article/35247475/,2026-05-21T07:00:00+09:00
2026-05-21_171017,ZDNet Japan,ICTトレンド,製薬のJCRファーマ、セキュリティ基盤をクラウドストライクで強化,https://japan.zdnet.com/article/35247766/,2026-05-20T17:50:00+09:00
