timestamp,feed_name,category,title,link,published
2026-01-15_160342,デジタル庁 新着・更新,政策・制度,地方公共団体情報システムデータ要件・連携要件標準仕様書の（各論）に関するFAQを更新しました,https://www.digital.go.jp/policies/local_governments/specification,"Thu, 15 Jan 2026 15:00:00 +0900"
2026-01-15_160342,ZDNet Japan,ICTトレンド,NTT-AT、VPN装置に特化した「VPNセキュリティ診断サービス」を提供,https://japan.zdnet.com/article/35242729/,2026-01-15T13:08:00+09:00
2026-01-15_160342,ZDNet Japan,ICTトレンド,「Copilot」を悪用してユーザーデータを盗み取る「Reprompt」攻撃,https://japan.zdnet.com/article/35242738/,2026-01-15T10:12:00+09:00
