timestamp,feed_name,category,title,link,published
2025-09-03_160111,デジタル庁 新着・更新,政策・制度,商業登記電子証明書のリモート署名の導入についてお知らせします,https://www.digital.go.jp/news/d0a6665d-8e21-4e12-8859-c522dd5f836c,"Wed, 03 Sep 2025 15:00:00 +0900"
2025-09-03_160111,デジタル庁 新着・更新,政策・制度,マイナンバー制度の広報用ロゴマーク等使用申請書を更新しました,https://www.digital.go.jp/policies/mynumber_logo,"Wed, 03 Sep 2025 15:00:00 +0900"
2025-09-03_160111,ZDNet Japan,ICTトレンド,プリンターには多数のセキュリティ問題が存在--HP調査,https://japan.zdnet.com/article/35237500/,2025-09-03T13:51:00+09:00
2025-09-03_160111,ZDNet Japan,ICTトレンド,グーグル、大規模セキュリティ侵害に関する報道を否定,https://japan.zdnet.com/article/35237483/,2025-09-03T09:40:00+09:00
