timestamp,feed_name,category,title,link,published
2026-01-30_161418,デジタル庁 新着・更新,政策・制度,一般競争入札：令和8年度住民向け汎用電子申請サービス及びユーザーデータ登録機能の設計・開発等を掲載しました,https://www.digital.go.jp/procurement,"Fri, 30 Jan 2026 15:00:00 +0900"
2026-01-30_161418,デジタル庁 新着・更新,政策・制度,公募公告：電子契約システム（工事・業務）の運用及びアプリケーションプログラム保守業務（令和8年度）を掲載しました,https://www.digital.go.jp/procurement/b375e421-4a6c-41db-a30e-fa110ab0857a,"Fri, 30 Jan 2026 15:00:00 +0900"
2026-01-30_161418,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: Ivanti Endpoint Manager Mobile（EPMM）の脆弱性（CVE-2026-1281、CVE-2026-1340）に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2026/at260002.html,2026-01-30T11:15+09:00
2026-01-30_161418,ZDNet Japan,ICTトレンド,人気上昇中のAIアシスタント「Moltbot」、セキュリティリスクを指摘する声も,https://japan.zdnet.com/article/35243364/,2026-01-30T10:25:00+09:00
