timestamp,feed_name,category,title,link,published
2026-06-18_173043,デジタル庁 新着・更新,政策・制度,デジタル関係制度改革検討会（第10回）（2026年4月23日開催）の議事録を掲載しました,https://www.digital.go.jp/councils/digital-system-reform/9474fdac-7640-4f63-9111-f1dafa426d1e,"Thu, 18 Jun 2026 15:00:00 +0900"
2026-06-18_173043,ZDNet Japan,ICTトレンド,アリババクラウド、日本で5拠点目のデータセンター開設,https://japan.zdnet.com/article/35249110/,2026-06-18T15:47:00+09:00
2026-06-18_173043,ZDNet Japan,ICTトレンド,リコージャパン、AI実装とSE統合でデジタルサービス加速--笠井CEOが戦略を説明,https://japan.zdnet.com/article/35249096/,2026-06-18T15:04:00+09:00
2026-06-18_173043,ZDNet Japan,ICTトレンド,都城市、申請から通知までを「GMOサイン電子公印」でデジタル化,https://japan.zdnet.com/article/35249067/,2026-06-18T11:52:00+09:00
