timestamp,feed_name,category,title,link,published
2025-12-23_160335,デジタル庁 新着・更新,政策・制度,グレーゾーン解消制度に基づく回答の申請事業者に株式会社マネーフォワードを追加しました,https://www.digital.go.jp/policies/digitalsign_grayzone,"Tue, 23 Dec 2025 16:00:00 +0900"
2025-12-23_160335,デジタル庁 新着・更新,政策・制度,地方公共団体の基幹業務システムの統一・標準化における特定移行支援システムの把握状況についての資料を更新しました,https://www.digital.go.jp/policies/local_governments,"Tue, 23 Dec 2025 15:00:00 +0900"
2025-12-23_160335,ZDNet Japan,ICTトレンド,Rubrik、2026年のサイバーセキュリティを予測--AIスプロールやNHIが脅威に,https://japan.zdnet.com/article/35241985/,2025-12-23T09:46:00+09:00
