timestamp,feed_name,category,title,link,published
2025-09-10_160131,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: Adobe AcrobatおよびReaderの脆弱性（APSB25-85）に関する注意喚起 (公開),https://www.jpcert.or.jp/at/2025/at250020.html,2025-09-10T11:08+09:00
2025-09-10_160131,JPCERT/CC 注意喚起・週報,セキュリティ,注意喚起: 2025年9月マイクロソフトセキュリティ更新プログラムに関する注意喚起 (公開),https://www.jpcert.or.jp/at/2025/at250019.html,2025-09-10T11:08+09:00
2025-09-10_160131,ZDNet Japan,ICTトレンド,脆弱性情報の取り扱いに配慮を--経産省やセキュリティ機関が要請,https://japan.zdnet.com/article/35237807/,2025-09-10T11:22:00+09:00
