timestamp,feed_name,category,title,link,published
2026-04-29_163951,デジタル庁 新着・更新,政策・制度,委託調査成果物一覧に「令和7年度 データ連携促進に向けたデータ標準等整備事業」を掲載しました,https://www.digital.go.jp/budget/entrustment_deliverables,"Tue, 28 Apr 2026 15:00:00 +0900"
2026-04-29_163951,ZDNet Japan,ICTトレンド,「Ubuntu 26.04 LTS」が公開--Canonical幹部が「Rust」「Wayland」の採用などを語る,https://japan.zdnet.com/article/35246987/,2026-04-29T07:00:00+09:00
2026-04-29_163951,ZDNet Japan,ICTトレンド,パロアルト、“プラットフォーマイゼーション”でコスト削減とセキュリティの実効性向上を両立,https://japan.zdnet.com/article/35246990/,2026-04-28T15:15:00+09:00
