timestamp,feed_name,category,title,link,published
2026-08-20_163015,デジタル庁 新着・更新,政策・制度,地方公共団体の基幹業務システムの統一・標準化に係るデータ要件・連携要件標準仕様書の令和8年9月末改定スケジュール（予定）についての資料を更新しました,https://www.digital.go.jp/policies/local_governments,"Thu, 20 Aug 2026 15:00:00 +0900"
2026-08-20_163015,ZDNet Japan,ICTトレンド,primeNumber、SnowflakeでクラウドETLを発売--日本企業第1号,https://japan.zdnet.com/article/35251766/,2026-08-20T15:24:00+09:00
2026-08-20_163015,ZDNet Japan,ICTトレンド,日立建機、品質DX推進グループに「Jitera」を導入--レガシーコードの属人化を解消,https://japan.zdnet.com/article/35251738/,2026-08-20T12:00:00+09:00
