timestamp,feed_name,category,title,link,published
2025-11-11_160120,デジタル庁 新着・更新,政策・制度,意見招請:行政文書の電子的管理システム（新EASY）（仮称）の整備等に係る令和8年度設計・開発・移行等業務の請負を掲載しました,https://www.digital.go.jp/procurement,"Tue, 11 Nov 2025 15:00:00 +0900"
2025-11-11_160120,ZDNet Japan,ICTトレンド,ネットワールド、KnowBe4導入で社内セキュリティ教育を強化,https://japan.zdnet.com/article/35240325/,2025-11-11T13:45:00+09:00
2025-11-11_160120,ZDNet Japan,ICTトレンド,GMO、陸上自衛隊高等工科学校にサイバーセキュリティ教育を実施--サイバー防衛人材の育成強化,https://japan.zdnet.com/article/35240322/,2025-11-11T13:18:00+09:00
2025-11-11_160120,ZDNet Japan,ICTトレンド,ランサムウェアに強い組織づくり--今求められるセキュリティ体制の構築法,https://japan.zdnet.com/article/35239454/,2025-11-11T11:00:00+09:00
