timestamp,feed_name,category,title,link,published
2025-10-17_160121,デジタル庁 新着・更新,政策・制度,本人確認実務の課題・事例・手法とそのガイドラインに関する有識者会議（令和7年度 第1回）の会議資料を掲載しました,https://www.digital.go.jp/councils/identification-guideline-revise-experts-meeting/e00557f1-dc71-4d94-aa47-46e30a511779,"Fri, 17 Oct 2025 15:00:00 +0900"
2025-10-17_160121,デジタル庁 新着・更新,政策・制度,JP PINTの日本のPeppol Certified Service Provider一覧および民間事業者の取組（企業間取引編）を更新しました,https://www.digital.go.jp/policies/electronic_invoice,"Fri, 17 Oct 2025 15:00:00 +0900"
2025-10-17_160121,ZDNet Japan,ICTトレンド,JTB、約1万8000人のSaaSアカウントを可視化--「Bundle by freee」導入でコスト最適化も,https://japan.zdnet.com/article/35239324/,2025-10-17T12:19:00+09:00
2025-10-17_160121,ZDNet Japan,ICTトレンド,野田市役所が「kintone」の監視システムを導入--管理者1人でもできるDX,https://japan.zdnet.com/article/35239321/,2025-10-17T12:09:00+09:00
2025-10-17_160121,ZDNet Japan,ICTトレンド,ランサムウェアの「侵入」「拡散」「被害拡大」をどう防ぐか--セキュリティセミナーで徹底解説,https://japan.zdnet.com/article/35238911/,2025-10-17T11:00:00+09:00
