timestamp,feed_name,category,title,link,published
2025-10-30_160112,デジタル庁 新着・更新,政策・制度,JP PINTのサービスプロバイダーミーティングに第2回 Peppol Certified Service Provider ミーティングを追加しました。,https://www.digital.go.jp/policies/electronic_invoice,"Thu, 30 Oct 2025 15:00:00 +0900"
2025-10-30_160112,ZDNet Japan,ICTトレンド,スタンレー電気、「SuccessFactors」で人事DXを加速--戦略コンセプト「One Stanley」を具現化へ,https://japan.zdnet.com/article/35239878/,2025-10-30T13:41:00+09:00
2025-10-30_160112,ZDNet Japan,ICTトレンド,ラック、「経営者のためのセキュリティコンパス」を提供--サイバーリスクを経営課題として可視化・支援,https://japan.zdnet.com/article/35239875/,2025-10-30T13:32:00+09:00
2025-10-30_160112,ZDNet Japan,ICTトレンド,イオンフィナンシャルサービス、業務システムのクラウド化を加速--キンドリルが技術支援,https://japan.zdnet.com/article/35239873/,2025-10-30T13:09:00+09:00
2025-10-30_160112,ZDNet Japan,ICTトレンド,NEC、国内IT好調で通期見通しを上方修正--米CSG買収でグローバル展開を加速,https://japan.zdnet.com/article/35239858/,2025-10-30T11:01:00+09:00
